iaps_num	iaps_jpg	valence	desc	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set.
9415	9415.jpg	negative	Handicapped	2.82	2	4.91	2.35	4.22	2.24	.	.	8\
9430	9430.jpg	negative	Burial	2.63	1.59	5.26	2.55	4.14	2.44	.	.	4\
9435	9435.jpg	negative	Accident	2.27	1.47	5	2.03	.	.	3.64	2.15	13\
9560	9560.jpg	negative	DuckInOil	2.12	1.93	5.5	2.52	3.62	2.33	.	.	5\
9561	9561.jpg	negative	SickKitty	2.68	1.92	4.79	2.29	4.53	2.36	.	.	10\
9830	9830.jpg	negative	Cigarettes	2.54	1.75	4.86	2.63	4.96	2.38	.	.	6\
9832	9832.jpg	negative	Cigarettes	2.94	1.58	4.46	2.06	5.53	2.51	.	.	19\
9913	9913.jpg	neutral	Truck	4.38	1.89	4.42	2.14	.	.	4.74	2.27	13\
9922	9922.jpg	negative	Fire	2.78	1.32	5.21	2.03	3.72	2.13	.	.	20\
9925	9925.jpg	negative	Fire	2.84	1.35	5.59	2.23	.	.	3.5	2.08	16\
9927	9927.jpg	negative	Flood	2.71	1.56	5.29	1.91	3.60	2.08	.	.	20\
